1,Smith | Steve (Car)
2,Harrison | Marvin
3,Owens | Terrell
4,Wayne | Reggie
5,Johnson | Chad
6,Walker | Javon
7,Holt | Torry
8,Fitzgerald | Larry
9,Colston | Marques
10,Williams | Roy
11,Burress | Plaxico
12,Houshmandzadeh | T.J.
13,Jackson | Darrell
14,Boldin | Anquan
15,Johnson | Andre
16,Evans | Lee
17,Ward | Hines
18,Galloway | Joey
19,Holmes | Santonio
20,Moss | Santana
21,Brown | Reggie
22,Coles | Laveranues
23,Clayton | Mark
24,Cotchery | Jerricho
25,Driver | Donald
26,Edwards | Braylon
27,Branch | Deion
28,Hackett | D.J.
29,Horn | Joe
30,Moss | Randy
31,Stallworth | Donte
32,Jackson | Vincent
33,Henderson | Devery
34,Chambers | Chris
35,Glenn | Terry
36,Kennison | Eddie
37,Berrian | Bernard
38,Johnson | Calvin
39,Bruce | Isaac
40,Curry | Ronald
41,Bennett | Drew
42,Furrey | Mike
43,Jones | Matt
44,Jennings | Greg
45,Marshall | Brandon
46,Crayton | Patrick
47,Welker | Wes
48,Wilford | Ernest
49,Muhammad | Muhsin
50,Mason | Derrick
