1,Moss | Randy
2,Owens | Terrell
3,Wayne | Reggie
4,Edwards | Braylon
5,Johnson | Andre
6,Fitzgerald | Larry
7,Houshmandzadeh | T.J.
8,Colston | Marques
9,Burress | Plaxico
10,Holt | Torry
11,Johnson | Chad
12,Smith | Steve (Car)
13,Holmes | Santonio
14,Boldin | Anquan
15,Marshall | Brandon
16,Johnson | Calvin
17,Williams | Roy
18,White | Roddy
19,Jennings | Greg
20,Welker | Wes
21,Evans | Lee
22,Bowe | Dwayne
23,Cotchery | Jerricho
24,Harrison | Marvin
25,Ward | Hines
26,Driver | Donald
27,Moss | Santana
28,Galloway | Joey
29,Coles | Laveranues
30,Chambers | Chris
31,Crayton | Patrick
32,Gonzalez | Anthony
33,Berrian | Bernard
34,Stallworth | Donte
35,Burleson | Nate
36,Brown | Reggie
37,Williams | Reggie
38,Rice | Sidney
39,Ginn Jr. | Ted
40,Bruce | Isaac
41,Mason | Derrick
42,Walker | Javon
43,Curry | Ronald
44,Jackson | Vincent
45,Engram | Bobby
46,Morgan | Josh
47,Randle El | Antwaan
48,Toomer | Amani
49,Gaffney | Jabar
50,Johnson | Bryant
51,Bennett | Drew
52,Hackett | D.J.
53,Hester | Devin
54,Porter | Jerry
55,Gage | Justin
56,Clayton | Mark
57,Taylor | Courtney
58,Royal | Eddie
59,Hardy | James
60,Muhammad | Muhsin
61,Battle | Arnaz
62,Curtis | Kevin
63,Baskett | Hank
64,Henry | Chris
65,Jackson | DeSean
66,Walter | Kevin
67,McDonald | Shaun
68,Stokley | Brandon
