1,Fitzgerald | Larry,
2,Johnson | Andre,
3,Johnson | Calvin,
4,Moss | Randy,
5,Smith | Steve (Car),
6,Jennings | Greg,
7,Wayne | Reggie,
8,White | Roddy,
9,Boldin | Anquan,
10,Owens | Terrell,
11,Bowe | Dwayne,
12,Colston | Marques,
13,Marshall | Brandon,
14,Welker | Wes,
15,Houshmandzadeh | T.J.,
16,Edwards | Braylon,
17,Williams | Roy,
18,Jackson | Vincent,
19,Johnson | Chad,
20,Berrian | Bernard,
21,Evans | Lee,
22,Jackson | DeSean,
23,Ward | Hines,
24,Bryant | Antonio,
25,Moss | Santana,
26,Royal | Eddie,
27,Holmes | Santonio,
28,Walter | Kevin,
29,Gonzalez | Anthony,
30,Cotchery | Jerricho,
31,Driver | Donald,
32,Holt | Torry,
33,Coles | Laveranues,
34,Moore | Lance,
35,Breaston | Steve,
36,Mason | Derrick,
37,Hester | Devin,
38,Morgan | Josh,
39,Avery | Donnie,
40,Ginn Jr. | Ted,
41,Hixon | Domenik,
42,Crayton | Patrick,
43,Engram | Bobby,
44,Harvin | Percy,
45,Curtis | Kevin,
46,Chambers | Chris,
47,Muhammad | Muhsin,
48,Gage | Justin,
49,Burleson | Nate,
50,Galloway | Joey,
51,Jenkins | Michael,
52,Washington | Nate,
53,Rice | Sidney,
54,Maclin | Jeremy,
55,Williamson | Troy,
56,Bennett | Earl,
57,Battle | Arnaz,
58,Branch | Deion,
59,Bruce | Isaac,
60,Nicks | Hakeem,
61,Smith | Steve (NYG),
62,Clayton | Mark,
63,Henderson | Devery,
64,Burton | Keenan,
65,Meachem | Robert
66,Britt | Kenny
67,Stuckey | Chansi
