1,Johnson | Andre,
2,Moss | Randy,
3,Fitzgerald | Larry,
4,Wayne | Reggie,
5,Marshall | Brandon,
6,White | Roddy,
7,Johnson | Calvin,
8,Austin | Miles,
9,Jackson | DeSean,
10,Smith | Steve (Car),
11,Jennings | Greg,
12,Colston | Marques,
13,Smith | Steve (NYG),
14,Boldin | Anquan,
15,Johnson | Chad,
16,Sims-Walker | Mike,
17,Crabtree | Michael,
18,Ward | Hines,
19,Welker | Wes,
20,Bowe | Dwayne,
21,Driver | Donald,
22,Harvin | Percy,
23,Maclin | Jeremy,
24,Nicks | Hakeem,
25,Garcon | Pierre,
26,Wallace | Mike,
27,Moss | Santana,
28,Edwards | Braylon,
29,Berrian | Bernard,
30,Meachem | Robert,
31,Floyd | Malcolm,
32,Evans | Lee,
33,Owens | Terrell,
34,Holmes | Santonio,
35,Mason | Derrick,
36,Bryant | Dez,
37,Knox | Johnny,
38,Robinson | Laurent,
39,Breaston | Steve,
40,Williams | Mike,
41,Aromashodu | Devin,
42,Collie | Austin,
43,Jackson | Vincent,
44,Naanee | Legedu,
45,Burleson | Nate,
46,Britt | Kenny,
47,Jones | Jacoby,
48,Murphy | Louis,
49,Henderson | Devery,
50,Manningham | Mario,
51,Rice | Sidney,
52,Walter | Kevin,
53,Massaquoi | Mohamed,
54,Edelman | Julian,
55,Royal | Eddie,
56,Galloway | Joey,
57,Williams | Mike (TB),
58,Doucet | Early,
59,Morgan | Josh,
60,Gaffney | Jabar,
61,Clayton | Mark,
62,Hester | Devin,
63,Cotchery | Jerricho,
