1,Johnson | Calvin,
2,Fitzgerald | Larry,
3,Johnson | Andre,
4,White | Roddy,
5,Jennings | Greg,
6,Wallace | Mike,
7,Welker | Wes,
8,Nicks | Hakeem,
9,Green | A.J.,
10,Cruz | Victor,
11,Jones | Julio,
12,Marshall | Brandon,
13,Nelson | Jordy,
14,Smith | Steve (Car),
15,Bryant | Dez,
16,Colston | Marques,
17,Lloyd | Brandon,
18,Jackson | Vincent,
19,Harvin | Percy,
20,Bowe | Dwayne,
21,Maclin | Jeremy,
22,Johnson | Steve,
23,Austin | Miles,
24,Thomas | Demaryius,
25,Brown | Antonio,
26,Decker | Eric,
27,Jackson | DeSean,
28,Meachem | Robert,
29,Garcon | Pierre,
30,Smith | Torrey,
31,Britt | Kenny,
32,Moore | Denarius,
33,Floyd | Malcolm,
34,Holmes | Santonio,
35,Moore | Lance,
36,Boldin | Anquan,
37,Crabtree | Michael,
38,Washington | Nate,
39,Wayne | Reggie,
40,Rice | Sidney,
41,Heyward-Bey | Darrius,
42,Young | Titus,
43,Manningham | Mario,
44,Blackmon | Justin,
45,Hankerson | Leonard,
46,Randle | Rueben,
47,Robinson | Laurent,
48,Williams | Mike (TB),
49,Burleson | Nate,
50,Moss | Randy,
51,Baldwin | Jonathan,
52,Little | Greg,
53,LaFell | Brandon,
54,Wright | Kendall,
55,Jones | James,
56,Bess | Davone,
57,Royal | Eddie,
58,Stokley | Brandon,
59,Cobb | Randall,
60,Smith | Steve (NYG),
61,Ford | Jacoby,
62,Jeffery | Alshon,
63,Edwards | Braylon,
