Name,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams | Charlie,DEN,2005,15,5,14,,36,21,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams | Joe,CAR,2012,9,3,13,,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams | Kris,IND,2012,3,,,,8,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken | Sam,BUF,2004,11,,,,18,11,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken | Sam,BUF,2005,6,,,,14,4,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken | Sam,BUF,2007,12,,,,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken | Sam,CLE,2010,3,,,,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken | Sam,NE,2008,14,,,,11,8,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken | Sam,NE,2009,14,,,,41,20,326,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajirotutu | Seyi,CAR,2011,14,,,,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajirotutu | Seyi,SD,2010,10,,,,23,13,262,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajirotutu | Seyi,SDC,2012,3,,,,4,3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander | Danario,SDC,2012,10,,,,62,37,658,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander | Danario,STL,2010,8,,,,37,20,306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander | Danario,STL,2011,10,,,,60,26,431,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen | Jake,GB,2009,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison | Aundrae,MIN,2007,11,2,3,,18,8,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison | Aundrae,MIN,2008,15,1,1,,22,10,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alston | Richard,CLE,2004,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amendola | Danny,STL,2009,14,3,-2,,63,43,326,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amendola | Danny,STL,2010,16,7,81,,123,85,689,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amendola | Danny,STL,2011,1,,,,6,5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amendola | Danny,STL,2012,11,2,8,,101,63,666,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amey | Otis,SF,2005,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson | David,HOU,2006,2,,,,5,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson | David,HOU,2007,8,,,,17,12,131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson | David,HOU,2008,16,,,,29,19,241,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson | David,HOU,2009,16,,,,53,38,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson | David,HOU,2010,12,,,,18,11,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson | David,HOU,2011,6,,,,15,7,79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arceneaux | Emmanuel,MIN,2011,3,,,,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong | Anthony,MIA,2012,6,,,,9,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong | Anthony,WAS,2010,15,,,,86,44,871,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong | Anthony,WAS,2011,14,2,19,,25,7,103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong | Derick,HOU,2004,13,,,,40,29,415,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong | Derick,HOU,2005,8,,,,12,9,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aromashodu | Devin,CHI,2009,10,,,,43,24,298,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aromashodu | Devin,CHI,2010,14,,,,24,10,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aromashodu | Devin,IND,2007,6,,,,17,7,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aromashodu | Devin,MIN,2011,16,,,,84,26,468,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aromashodu | Devin,MIN,2012,15,,,,22,11,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrington | Adrian,NO,2010,1,,,,9,7,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrington | Adrian,NOS,2011,4,,,,3,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin | Miles,DAL,2007,16,,,,10,5,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin | Miles,DAL,2008,12,,,,23,13,278,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin | Miles,DAL,2009,16,2,-2,,124,81,1320,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin | Miles,DAL,2010,16,7,93,1,119,69,1041,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin | Miles,DAL,2011,10,2,3,,73,43,579,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
