1,Fitzgerald | Larry,
2,Johnson | Andre,
3,Moss | Randy,
4,Johnson | Calvin,
5,Smith | Steve (Car),
6,Jennings | Greg,
7,Boldin | Anquan,
8,White | Roddy,
9,Colston | Marques,
10,Wayne | Reggie,
11,Bowe | Dwayne,
12,Welker | Wes,
13,Houshmandzadeh | T.J.,
14,Owens | Terrell,
15,Jackson | Vincent,
16,Williams | Roy,
17,Jackson | DeSean,
17,Royal | Eddie,
19,Gonzalez | Anthony,
20,Johnson | Chad,
21,Marshall | Brandon,
22,Edwards | Braylon,
22,Holmes | Santonio,
24,Bryant | Antonio,
25,Ward | Hines,
25,Moss | Santana,
27,Walter | Kevin,
28,Evans | Lee,
29,Moore | Lance,
30,Berrian | Bernard,
31,Coles | Laveranues,
32,Cotchery | Jerricho,
33,Holt | Torry,
34,Mason | Derrick,
35,Driver | Donald,
35,Hester | Devin,
37,Avery | Donnie,
38,Harvin | Percy,
39,Ginn Jr. | Ted,
40,Breaston | Steve,
41,Morgan | Josh,
42,Hixon | Domenik,
43,Henry | Chris,
44,Bennett | Earl,
45,Chambers | Chris,
46,Curtis | Kevin,
47,Burleson | Nate,
48,Clayton | Mark,
49,Crayton | Patrick,
50,Gage | Justin,
51,Jenkins | Michael,
52,Muhammad | Muhsin,
53,Bradley | Mark,
54,Branch | Deion,
55,Schilens | Chaz,
56,Washington | Nate,
57,Robiskie | Brian,
57,Smith | Steve (NYG),
59,Bruce | Isaac,
60,Nicks | Hakeem,
61,Crabtree | Michael,
62,Robinson | Laurent,
63,Sims-Walker | Mike,
64,Bess | Davone,
65,Jones | James
66,Manningham | Mario
67,Rice | Sidney
68,Galloway | Joey
69,Maclin | Jeremy
70,Kelly | Malcolm
71,Stokley | Brandon
72,Meachem | Robert
73,Thomas | Devin
