1,Johnson | Andre,
2,Moss | Randy,
3,Wayne | Reggie,
4,Johnson | Calvin,
5,White | Roddy,
6,Marshall | Brandon,
7,Austin | Miles,
8,Jennings | Greg,
9,Fitzgerald | Larry,
10,Jackson | DeSean,
11,Colston | Marques,
12,Smith | Steve (Car),
13,Smith | Steve (NYG),
14,Boldin | Anquan,
15,Bowe | Dwayne,
16,Johnson | Chad,
17,Johnson | Chad,
18,Ward | Hines,
19,Sims-Walker | Mike,
20,Harvin | Percy,
21,Welker | Wes,
22,Garcon | Pierre,
23,Crabtree | Michael,
24,Maclin | Jeremy,
25,Floyd | Malcolm,
26,Bryant | Dez,
27,Owens | Terrell,
28,Driver | Donald,
29,Moss | Santana,
30,Knox | Johnny,
31,Wallace | Mike,
32,Aromashodu | Devin,
33,Meachem | Robert,
34,Gaffney | Jabar,
35,Mason | Derrick,
36,Jones | Jacoby,
37,Williams | Mike,
38,Berrian | Bernard,
39,Williams | Mike (TB),
40,Evans | Lee,
41,Hester | Devin,
42,Naanee | Legedu,
43,Edwards | Braylon,
44,Britt | Kenny,
45,Massaquoi | Mohamed,
46,Robinson | Laurent,
47,Holmes | Santonio,
48,Breaston | Steve,
49,Cotchery | Jerricho,
50,Houshmandzadeh | T.J.,
51,Chambers | Chris,
52,Royal | Eddie,
53,Burleson | Nate,
54,Jones | James,
55,Gonzalez | Anthony,
56,Murphy | Louis,
57,Camarillo | Greg,
58,Walter | Kevin,
59,Jackson | Vincent,
60,Tate | Golden,
61,Collie | Austin,
62,Manningham | Mario,
