1,Johnson | Calvin,
2,Fitzgerald | Larry,
3,Jennings | Greg,
4,White | Roddy,
5,Cruz | Victor,
6,Johnson | Andre,
7,Marshall | Brandon,
8,Green | A.J.,
9,Wallace | Mike,
10,Jones | Julio,
11,Welker | Wes,
12,Nelson | Jordy,
13,Smith | Steve (Car),
14,Nicks | Hakeem,
15,Austin | Miles,
16,Thomas | Demaryius,
17,Colston | Marques,
18,Maclin | Jeremy,
19,Harvin | Percy,
20,Bryant | Dez,
21,Bowe | Dwayne,
22,Lloyd | Brandon,
23,Britt | Kenny,
24,Johnson | Steve,
25,Jackson | Vincent,
26,Jackson | DeSean,
27,Brown | Antonio,
28,Decker | Eric,
29,Smith | Torrey,
30,Meachem | Robert,
31,Wayne | Reggie,
32,Holmes | Santonio,
33,Garcon | Pierre,
34,Rice | Sidney,
35,Little | Greg,
36,Moore | Denarius,
37,Boldin | Anquan,
38,Heyward-Bey | Darrius,
39,Williams | Mike (TB),
40,Floyd | Malcolm,
41,Moore | Lance,
42,Blackmon | Justin,
43,Crabtree | Michael,
44,Floyd | Malcolm,
45,Moss | Santana,
46,Washington | Nate,
47,Robinson | Laurent,
48,Baldwin | Doug,
49,Young | Titus,
50,Quick | Brian,
51,Burleson | Nate,
52,Bess | Davone,
53,Randle | Rueben,
54,Collie | Austin,
55,Jeffery | Alshon,
56,Brown | Vincent,
57,Manningham | Mario,
58,Moss | Randy,
59,Jones | James,
60,Hartline | Brian,
