1,Johnson | Calvin,
2,Bryant | Dez,
3,Green | A.J.,
4,Marshall | Brandon,
5,Thomas | Demaryius,
6,Jones | Julio,
7,Fitzgerald | Larry,
8,Cruz | Victor,
9,White | Roddy,
10,Johnson | Andre,
11,Cobb | Randall,
12,Jackson | Vincent,
13,Amendola | Danny,
14,Bowe | Dwayne,
15,Garcon | Pierre,
16,Colston | Marques,
17,Smith | Torrey,
18,Nicks | Hakeem,
19,Nelson | Jordy,
20,Wayne | Reggie,
21,Brown | Antonio,
22,Decker | Eric,
23,Jackson | DeSean,
24,Jones | James,
25,Smith | Steve (Car),
26,Welker | Wes,
27,Shorts | Cecil,
28,Wallace | Mike,
29,Tate | Golden,
30,Hilton | T.Y.,
31,Williams | Mike (TB),
32,Austin | Miles,
33,Jennings | Greg,
34,(Rookie) Austin | Tavon,
35,Boldin | Anquan,
36,Givens | Chris,
37,Moore | Lance,
38,Johnson | Steve,
39,Gordon | Josh,
40,(Rookie) Thompkins | Kenbrell,
41,Floyd | Michael,
42,Brown | Vincent,
43,Britt | Kenny,
44,Rice | Sidney,
45,Randle | Rueben,
46,Jeffery | Alshon,
47,Sanders | Emmanuel,
48,Blackmon | Justin,
49,Heyward-Bey | Darrius,
50,Moore | Denarius,
51,Broyles | Ryan,
52,(Rookie) Hopkins | DeAndre,
53,Floyd | Malcolm,
54,Hartline | Brian,
55,(Rookie) Cordarrelle Patterson,
56,LaFell | Brandon,
57,Wright | Kendall,
58,Sanu | Mohamed,
59,Roberts | Andre,
60,Little | Greg,
